sample_id,layer_z,rank_within_endpoint,score,x_model_pixel,y_model_pixel,raw_camera_x_px,raw_camera_y_px,rank_2_machine_x,rank_2_machine_y,rank_2_inverse_denominator,rank_2_containing_part,rank_1_machine_x,rank_1_machine_y,rank_1_inverse_denominator,rank_1_containing_part,both_ranks_inside_known_part_rectangles,same_containing_part_under_both_ranks,machine_coordinate_shift_rank_alternative_to_selected
test_z_203,203,1,0.732289731502533,179,195,1301.7578125,1395.5078125,0.10377627472269187,13.07518575518095,0.9877497496178669,part01,8.896223725277284,-13.075185755180916,0.9845661924187388,part04,True,False,27.588930068067327
test_z_203,203,2,0.7305188775062561,182,175,1319.3359375,1278.3203125,-1.0033791922863715,5.864174802004996,0.994096727785474,part02,10.003379192286358,-5.864174802004966,0.990892714020251,part03,True,False,16.084244295901588
test_z_203,203,3,0.729698896408081,173,172,1266.6015625,1260.7421875,2.8384082692454635,4.869450442094899,0.996396857030362,part02,6.161591730754516,-4.869450442094879,0.9931854298560043,part03,True,False,10.290273988136551
test_z_203,203,4,0.7274277210235596,174,202,1272.4609375,1436.5234375,2.1859353812119995,15.648156966093287,0.9860917914870352,part01,6.814064618787984,-15.648156966093252,0.9829135779536942,part04,True,False,31.63666932503608
test_z_203,203,5,0.7249953746795654,147,125,1114.2578125,985.3515625,13.975932804537731,-11.319636569013829,1.0160269781874807,part04,-4.975932804537754,11.319636569013843,1.0127522823425368,part01,True,False,29.524733669970328
test_z_204,204,1,0.7348380088806152,179,196,1301.7578125,1401.3671875,0.09536017412584948,13.43709184816076,0.9874110025742525,part01,8.90463982587413,-13.437091848160739,0.9842285371704802,part04,True,False,28.281180267562004
test_z_204,204,2,0.7310118079185486,191,191,1372.0703125,1372.0703125,-4.994548818522631,11.540674848558199,0.9873928869735984,part01,13.994548818522613,-11.540674848558178,0.9842104799571363,part04,True,False,29.888702429342956
test_z_204,204,3,0.7297871112823486,177,168,1290.0390625,1237.3046875,1.1757203214718572,3.4137950849799656,0.9971812282652444,part02,7.824279678528132,-3.4137950849799448,0.9939672730308263,part03,True,False,9.529917578512089
test_z_204,204,4,0.7264333367347717,170,164,1249.0234375,1213.8671875,4.16374754982628,2.056531724177507,0.999534796083959,part02,4.836252450173708,-2.056531724177484,0.9963132552057321,part03,True,False,4.1676796627362265
test_z_204,204,5,0.7252693772315979,176,173,1284.1796875,1266.6015625,1.5597847580344208,5.200514553915448,0.995630147282066,part02,7.440215241965547,-5.20051455391544,0.9924211912440866,part03,True,False,11.948257997645173
test_z_205,205,1,0.7363627552986145,180,194,1307.6171875,1389.6484375,-0.3152386581305835,12.706241305731599,0.9879458424265875,part01,9.315238658130562,-12.706241305731576,0.9847616532124444,part04,True,False,27.176099164834874
test_z_205,205,2,0.7306997179985046,165,165,1219.7265625,1219.7265625,6.26547848257034,2.4537799405560814,0.9999093202148139,part02,2.73452151742964,-2.4537799405560703,0.9966865722302388,part03,True,False,6.045808554393459
test_z_205,205,3,0.7294764518737793,173,190,1266.6015625,1366.2109375,2.704197916833444,11.314235671180377,0.9902994102453022,part01,6.295802083166535,-11.314235671180354,0.98710763538735,part04,True,False,22.911729218451892
test_z_205,205,4,0.7268732786178589,161,138,1196.2890625,1061.5234375,8.101404615408285,-6.9721424413426805,1.009626107331979,part03,0.8985953845916969,6.972142441342696,1.0063720417514326,part02,True,False,15.694697885114724
test_z_205,205,5,0.7226258516311646,178,170,1295.8984375,1249.0234375,0.7361052386295878,4.115979544145471,0.9963610799431216,part02,8.263894761370398,-4.115979544145445,0.9931497680797561,part03,True,False,11.154943546696314
test_z_206,206,1,0.7333208918571472,178,196,1295.8984375,1401.3671875,0.5229576103116963,13.444276722954354,0.9875536568091463,part01,8.477042389688293,-13.444276722954324,0.9843707316250333,part04,True,False,28.040359681912033
test_z_206,206,2,0.7325977683067322,170,174,1249.0234375,1272.4609375,4.094130868809871,5.60638336283303,0.9961473256478147,part02,4.905869131190098,-5.606383362833001,0.9929367027231464,part03,True,False,11.242110862770186
test_z_206,206,3,0.7250712513923645,174,167,1272.4609375,1231.4453125,2.4526515774047604,3.08461824844764,0.9979479380135403,part02,6.547348422595227,-3.084618248447623,0.9947315116427441,part03,True,False,7.404459548720439
test_z_206,206,4,0.723761796951294,183,174,1325.1953125,1272.4609375,-1.4195010298699675,5.499007619855025,0.9942928205941945,part02,10.419501029869943,-5.499007619855004,0.9910881748139565,part03,True,False,16.159155577672365
test_z_206,206,5,0.7201297283172607,188,203,1354.4921875,1442.3828125,-3.8270252191989877,15.915805888395413,0.9837558851549068,part01,12.827025219198969,-15.915805888395372,0.9805852003416926,part04,True,False,35.92504564107092
test_z_207,207,1,0.7348281741142273,179,195,1301.7578125,1395.5078125,0.10377627472269187,13.07518575518095,0.9877497496178669,part01,8.896223725277284,-13.075185755180916,0.9845661924187388,part04,True,False,27.588930068067327
test_z_207,207,2,0.732457160949707,173,172,1266.6015625,1260.7421875,2.8384082692454635,4.869450442094899,0.996396857030362,part02,6.161591730754516,-4.869450442094879,0.9931854298560043,part03,True,False,10.290273988136551
test_z_207,207,3,0.7307051420211792,176,167,1284.1796875,1231.4453125,1.6067962318177422,3.0674335342508843,0.9976626295437526,part02,7.39320376818224,-3.0674335342508776,0.994447122733638,part03,True,False,8.433214459806134
test_z_207,207,4,0.726698100566864,182,174,1319.3359375,1272.4609375,-0.994645396892701,5.5072815108379,0.9944354748290885,part02,9.994645396892672,-5.507281510837861,0.9912303692685096,part03,True,False,15.559084507413763
test_z_207,207,5,0.7262009382247925,187,203,1348.6328125,1442.3828125,-3.397270585253674,15.922658068829957,0.9838985393898007,part01,12.39727058525365,-15.922658068829925,0.9807273947962457,part04,True,False,35.54703490720924
test_z_208,208,1,0.7385063767433167,178,197,1295.8984375,1407.2265625,0.5146836733916401,13.80638134986482,0.987214909765532,part01,8.485316326608352,-13.806381349864788,0.9840330763767747,part04,True,False,28.74014002756603
test_z_208,208,2,0.730587363243103,183,177,1325.1953125,1290.0390625,-1.446158728825488,6.570563088383368,0.9932765794633512,part02,10.44615872882547,-6.570563088383361,0.9900752090691808,part03,True,False,17.723329588631294
test_z_208,208,3,0.7297431826591492,167,175,1231.4453125,1278.3203125,5.357040257137843,5.987274453406693,0.9962365413088818,part02,3.6429597428621574,-5.987274453406686,0.993025630838547,part03,True,False,12.096606694899403
test_z_208,208,4,0.7250146269798279,177,168,1290.0390625,1237.3046875,1.1757203214718572,3.4137950849799656,0.9971812282652444,part02,7.824279678528132,-3.4137950849799448,0.9939672730308263,part03,True,False,9.529917578512089
test_z_208,208,5,0.7248601317405701,172,176,1260.7421875,1284.1796875,3.2326556554522,6.30295265673028,0.9951845230907981,part02,5.767344344547799,-6.302952656730264,0.9919770033175231,part03,True,False,12.858207321495557
test_z_209,209,1,0.7349795699119568,193,194,1383.7890625,1389.6484375,-5.883020872863603,12.611324938082285,0.9860913373729674,part01,14.883020872863572,-12.611324938082245,0.9829131253032545,part04,True,False,32.6712496938955
test_z_209,209,2,0.7342867255210876,179,197,1301.7578125,1407.2265625,0.08693829699301983,13.799246341636856,0.987072255530638,part01,8.913061703006962,-13.799246341636827,0.9838908819222216,part04,True,False,28.975459491902768
test_z_209,209,3,0.7324492335319519,171,175,1254.8828125,1278.3203125,3.6636015223812746,5.954499615272778,0.9956659243693065,part02,5.336398477618716,-5.954499615272763,0.9924568530203347,part03,True,False,12.025910041513944
test_z_209,209,4,0.7308310270309448,166,164,1225.5859375,1213.8671875,5.850349916208191,2.091403786101092,1.0001054130235345,part02,3.1496500837918067,-2.091403786101077,0.9968820330239444,part03,True,False,4.978921446547001
test_z_209,209,5,0.7262572050094604,179,170,1301.7578125,1249.0234375,0.3123186514155716,4.107522417372066,0.9962184257082277,part02,8.687681348584404,-4.107522417372045,0.9930075736252031,part03,True,False,11.731737379688614
test_z_210,210,1,0.7369325757026672,179,196,1301.7578125,1401.3671875,0.09536017412584948,13.43709184816076,0.9874110025742525,part01,8.90463982587413,-13.437091848160739,0.9842285371704802,part04,True,False,28.281180267562004
test_z_210,210,2,0.7315165996551514,168,175,1237.3046875,1278.3203125,4.9338624660972075,5.979084264226207,0.9960938870739879,part02,4.066137533902783,-5.9790842642261905,0.992883436383994,part03,True,False,11.989609714783095
test_z_210,210,3,0.7254365682601929,175,167,1278.3203125,1231.4453125,2.029784369738625,3.076027119781443,0.9978052837786464,part02,6.970215630261367,-3.0760271197814455,0.994589317188191,part03,True,False,7.8902238502132525
test_z_210,210,4,0.7239785194396973,161,139,1196.2890625,1067.3828125,8.095855177664252,-6.624809165666042,1.0092873602883645,part03,0.9041448223357322,6.624809165666046,1.006034386503174,part02,True,False,15.07557905225901
test_z_210,210,5,0.7217587828636169,184,175,1331.0546875,1278.3203125,-1.8535045648889144,5.847721463062918,0.9938114193156863,part02,10.853504564888897,-5.847721463062897,0.9906083251111448,part03,True,False,17.269958490469023
