candidate_id,stage,led_t,sampled_layer_count,roi_x0,roi_y0,roi_x1,roi_y1,roi_area_pixels,mean_full_scale_fraction,max_full_scale_fraction,mean_valid_fraction,min_valid_fraction,mean_intensity,mean_pair_abs_difference
inner_350_350_1650_1650,A,1,6,350,350,1650,1650,1690000,0.43491706114398426,0.849903550295858,0.5650829388560159,0.15009644970414204,57333.429020611446,3629.7194010416665
inner_350_350_1650_1650,A,2,6,350,350,1650,1650,1690000,0.5274407297830375,0.9641727810650887,0.4725592702169625,0.035827218934911254,57146.149650493106,4182.5143636067705
inner_350_350_1650_1650,A,3,6,350,350,1650,1650,1690000,0.12324329388560158,0.7182822485207101,0.8767567061143984,0.2817177514792899,41152.73118027613,7679.801595052083
inner_350_350_1650_1650,B,1,6,350,350,1650,1650,1690000,0.5723507889546351,0.7784343195266272,0.4276492110453649,0.22156568047337277,59066.00264072979,3629.7194010416665
inner_350_350_1650_1650,B,2,6,350,350,1650,1650,1690000,0.5434498027613411,0.8827899408284023,0.4565501972386588,0.11721005917159766,57168.44499822485,4182.5143636067705
inner_350_350_1650_1650,B,3,6,350,350,1650,1650,1690000,0.1251403353057199,0.6526455621301775,0.87485966469428,0.34735443786982245,45254.22486134123,7679.801595052083
inner_450_450_1550_1550,A,1,6,450,450,1550,1550,1210000,0.47366694214876043,0.9299727272727273,0.5263330578512396,0.07002727272727272,58728.36773829201,3611.393839518229
inner_450_450_1550_1550,A,2,6,450,450,1550,1550,1210000,0.5468044077134986,0.9910041322314049,0.45319559228650136,0.008995867768595067,59028.15225013774,4467.056559244792
inner_450_450_1550_1550,A,3,6,450,450,1550,1550,1210000,0.12887672176308537,0.7690768595041322,0.8711232782369146,0.23092314049586782,41403.239649999996,8224.501057942709
inner_450_450_1550_1550,B,1,6,450,450,1550,1550,1210000,0.6000723140495867,0.801107438016529,0.3999276859504133,0.19889256198347105,60051.18731101928,3611.393839518229
inner_450_450_1550_1550,B,2,6,450,450,1550,1550,1210000,0.579341046831956,0.8727892561983471,0.420658953168044,0.12721074380165287,59034.8180707989,4467.056559244792
inner_450_450_1550_1550,B,3,6,450,450,1550,1550,1210000,0.10240344352617077,0.5669107438016528,0.8975965564738292,0.43308925619834715,44792.41495123966,8224.501057942709
lower_350_450_1650_1750,A,1,6,350,450,1650,1750,1690000,0.38853491124260353,0.7923443786982248,0.6114650887573965,0.20765562130177517,56137.79583865878,4062.0144856770835
lower_350_450_1650_1750,A,2,6,350,450,1650,1750,1690000,0.45924773175542405,0.9128331360946745,0.5407522682445759,0.08716686390532546,55594.22851163708,4595.9446207682295
lower_350_450_1650_1750,A,3,6,350,450,1650,1750,1690000,0.13635660749506903,0.7935443786982248,0.8636433925049309,0.2064556213017752,42803.88224082841,7723.924153645833
lower_350_450_1650_1750,B,1,6,350,450,1650,1750,1690000,0.5307257396449704,0.7533727810650888,0.46927426035502956,0.24662721893491124,58374.3763147929,4062.0144856770835
lower_350_450_1650_1750,B,2,6,350,450,1650,1750,1690000,0.4785272189349112,0.8440751479289941,0.5214727810650888,0.15592485207100593,55821.88497672584,4595.9446207682295
lower_350_450_1650_1750,B,3,6,350,450,1650,1750,1690000,0.14042879684418147,0.6753284023668639,0.8595712031558186,0.32467159763313613,46913.06879911242,7723.924153645833
upper_350_250_1650_1550,A,1,6,350,250,1650,1550,1690000,0.4369474358974359,0.8483502958579882,0.5630525641025641,0.15164970414201184,57410.24729201184,3369.411824544271
upper_350_250_1650_1550,A,2,6,350,250,1650,1550,1690000,0.5916105522682445,0.9718544378698225,0.4083894477317554,0.028145562130177493,58552.49056370809,3765.5390828450522
upper_350_250_1650_1550,A,3,6,350,250,1650,1550,1690000,0.10881814595660749,0.6431449704142012,0.8911818540433925,0.35685502958579884,39485.6220969428,7612.827229817708
upper_350_250_1650_1550,B,1,6,350,250,1650,1550,1690000,0.5588096646942802,0.7450573964497041,0.4411903353057198,0.25494260355029585,58652.53319635108,3369.411824544271
upper_350_250_1650_1550,B,2,6,350,250,1650,1550,1690000,0.6056382642998027,0.8861455621301775,0.3943617357001972,0.11385443786982252,58363.27494033531,3765.5390828450522
upper_350_250_1650_1550,B,3,6,350,250,1650,1550,1690000,0.1109301775147929,0.6163875739644971,0.8890698224852072,0.38361242603550294,43567.64861153847,7612.827229817708
wide_250_250_1750_1750,A,1,6,250,250,1750,1750,2250000,0.35622096296296296,0.729184,0.643779037037037,0.27081599999999995,54677.388460888884,5573.57666015625
wide_250_250_1750_1750,A,2,6,250,250,1750,1750,2250000,0.5118769629629629,0.9242351111111111,0.4881230370370371,0.07576488888888888,55521.240462148155,4879.8232828776045
wide_250_250_1750_1750,A,3,6,250,250,1750,1750,2250000,0.11902177777777777,0.6859768888888889,0.8809782222222222,0.31402311111111114,40765.83797074074,7303.183268229167
wide_250_250_1750_1750,B,1,6,250,250,1750,1750,2250000,0.4544072592592592,0.6425182222222222,0.5455927407407408,0.3574817777777778,54352.70452407408,5573.57666015625
wide_250_250_1750_1750,B,2,6,250,250,1750,1750,2250000,0.49937385185185196,0.8475568888888889,0.5006261481481481,0.15244311111111108,54517.89283251852,4879.8232828776045
wide_250_250_1750_1750,B,3,6,250,250,1750,1750,2250000,0.13113296296296298,0.6511337777777778,0.8688670370370372,0.3488662222222222,44148.7262757037,7303.183268229167
